Year,State,Citizen Category,Ethnic Group,Value in Thousands
2020,P.PINANG,Malaysian citizens,Indians,68.1
2020,P.PINANG,Malaysian citizens,Others,1.2
2020,P.PINANG,Non Malaysian citizens,n.a,102.1
2020,PERAK,Total of employed,n.a,1042.8
2020,PERAK,Malaysian citizens,Total Malaysian citizens,974.6
2020,PERAK,Malaysian citizens,Bumiputera,559.1
2020,PERAK,Malaysian citizens,Chinese,306.5
2020,PERAK,Malaysian citizens,Indians,106.1
2020,PERAK,Malaysian citizens,Others,2.9
2020,PERAK,Non Malaysian citizens,n.a,68.2
2020,PERLIS,Total of employed,n.a,105.6
2020,PERLIS,Malaysian citizens,Total Malaysian citizens,101.5
2020,PERLIS,Malaysian citizens,Bumiputera,90.9
2020,PERLIS,Malaysian citizens,Chinese,7.5
2020,PERLIS,Malaysian citizens,Indians,1.1
2020,PERLIS,Malaysian citizens,Others,2
2020,PERLIS,Non Malaysian citizens,n.a,4.1
2020,SELANGOR,Total of employed,n.a,3446.5
2020,SELANGOR,Malaysian citizens,Total Malaysian citizens,3071.6
2020,SELANGOR,Malaysian citizens,Bumiputera,1780.6
2020,SELANGOR,Malaysian citizens,Chinese,872
2020,SELANGOR,Malaysian citizens,Indians,404.5
2020,SELANGOR,Malaysian citizens,Others,14.6
2020,SELANGOR,Non Malaysian citizens,n.a,374.9
2020,TERENGGANU,Total of employed,n.a,465
2020,TERENGGANU,Malaysian citizens,Total Malaysian citizens,445.6
2020,TERENGGANU,Malaysian citizens,Bumiputera,431.6
2020,TERENGGANU,Malaysian citizens,Chinese,13.4
2020,TERENGGANU,Malaysian citizens,Indians,0.2
2020,TERENGGANU,Malaysian citizens,Others,0.4
2020,TERENGGANU,Non Malaysian citizens,n.a,19.4
2020,SABAH,Total of employed,n.a,1869.7
2020,SABAH,Malaysian citizens,Total Malaysian citizens,1107.1
2020,SABAH,Malaysian citizens,Bumiputera,898.2
2020,SABAH,Malaysian citizens,Chinese,155.6
2020,SABAH,Malaysian citizens,Indians,6.5
2020,SABAH,Malaysian citizens,Others,46.9
2020,SABAH,Non Malaysian citizens,n.a,762.5
2020,SARAWAK,Total of employed,n.a,1262.3
2020,SARAWAK,Malaysian citizens,Total Malaysian citizens,1124.4
2020,SARAWAK,Malaysian citizens,Bumiputera,832.1
2020,SARAWAK,Malaysian citizens,Chinese,287.1
2020,SARAWAK,Malaysian citizens,Indians,4.1
2020,SARAWAK,Malaysian citizens,Others,1.2
2020,SARAWAK,Non Malaysian citizens,n.a,137.9
2020,W.P.KUALA LUMPUR,Total of employed,n.a,874.6
2020,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,738.9
2020,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,323
2020,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,342.4
2020,W.P.KUALA LUMPUR,Malaysian citizens,Indians,67
2020,W.P.KUALA LUMPUR,Malaysian citizens,Others,6.4
2020,W.P.KUALA LUMPUR,Non Malaysian citizens,n.a,135.7
2020,W.P.LABUAN,Total of employed,n.a,42.8
2020,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,37.7
2020,W.P.LABUAN,Malaysian citizens,Bumiputera,33.5
2020,W.P.LABUAN,Malaysian citizens,Chinese,0.3
2020,W.P.LABUAN,Malaysian citizens,Indians,0.5
2020,W.P.LABUAN,Malaysian citizens,Others,0
2020,W.P.LABUAN,Non Malaysian citizens,n.a,5.1
2020,W.P.PUTRAJAYA,Total of employed,n.a,36.2
2020,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,34.3
2020,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,33.5
2020,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.3
2020,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.5
2020,W.P.PUTRAJAYA,Malaysian citizens,Others,0
2020,W.P.PUTRAJAYA,Non Malaysian citizens,n.a,1.9
2021,MALAYSIA,Total of employed,n.a,15064.2
2021,MALAYSIA,Malaysian citizens,Total Malaysian citizens,13154.8
2021,MALAYSIA,Malaysian citizens,Bumiputera,8791.8
2021,MALAYSIA,Malaysian citizens,Chinese,3270.8
2021,MALAYSIA,Malaysian citizens,Indians,973.4
2021,MALAYSIA,Malaysian citizens,Others,118.9
2021,MALAYSIA,Non Malaysian citizens,n.a,1909.4
2021,JOHOR,Total of employed,n.a,1695.3
2021,JOHOR,Malaysian citizens,Total Malaysian citizens,1513.8
2021,JOHOR,Malaysian citizens,Bumiputera,890.2
2021,JOHOR,Malaysian citizens,Chinese,501.3
2021,JOHOR,Malaysian citizens,Indians,114
2021,JOHOR,Malaysian citizens,Others,9
2021,JOHOR,Non Malaysian citizens,n.a,213.2
2021,KEDAH,Total of employed,n.a,934.2
2021,KEDAH,Malaysian citizens,Total Malaysian citizens,876.7
2021,KEDAH,Malaysian citizens,Bumiputera,684.1
2021,KEDAH,Malaysian citizens,Chinese,116.2
2021,KEDAH,Malaysian citizens,Indians,66.4
2021,KEDAH,Malaysian citizens,Others,10
2021,KEDAH,Non Malaysian citizens,n.a,57.5
2021,KELANTAN,Total of employed,n.a,689.6
2021,KELANTAN,Malaysian citizens,Total Malaysian citizens,662.7
2021,KELANTAN,Malaysian citizens,Bumiputera,632.4
2021,KELANTAN,Malaysian citizens,Chinese,23.7
2021,KELANTAN,Malaysian citizens,Indians,1.6
2021,KELANTAN,Malaysian citizens,Others,5
2021,KELANTAN,Non Malaysian citizens,n.a,27
2021,MELAKA,Total of employed,n.a,435.1
2021,MELAKA,Malaysian citizens,Total Malaysian citizens,407.5
2021,MELAKA,Malaysian citizens,Bumiputera,279.9
2021,MELAKA,Malaysian citizens,Chinese,100.4
2021,MELAKA,Malaysian citizens,Indians,25.2
2021,MELAKA,Malaysian citizens,Others,2.1
2021,MELAKA,Non Malaysian citizens,n.a,27.6
2021,N.SEMBILAN,Total of employed,n.a,467.5
2021,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,413.4
2021,N.SEMBILAN,Malaysian citizens,Bumiputera,253.7
2021,N.SEMBILAN,Malaysian citizens,Chinese,95.9
2021,N.SEMBILAN,Malaysian citizens,Indians,62.3
2021,N.SEMBILAN,Malaysian citizens,Others,1.4
2021,N.SEMBILAN,Non Malaysian citizens,n.a,54.2
2021,PAHANG,Total of employed,n.a,705.4
2021,PAHANG,Malaysian citizens,Total Malaysian citizens,639.2
2021,PAHANG,Malaysian citizens,Bumiputera,505.1
2021,PAHANG,Malaysian citizens,Chinese,104.3
2021,PAHANG,Malaysian citizens,Indians,28.1
2021,PAHANG,Malaysian citizens,Others,1.6
2021,PAHANG,Non Malaysian citizens,n.a,66.3
2021,P.PINANG,Total of employed,n.a,857.2
2021,P.PINANG,Malaysian citizens,Total Malaysian citizens,766
2021,P.PINANG,Malaysian citizens,Bumiputera,363.7
2021,P.PINANG,Malaysian citizens,Chinese,327.8
2021,P.PINANG,Malaysian citizens,Indians,71.6
2021,P.PINANG,Malaysian citizens,Others,2.9
2021,P.PINANG,Non Malaysian citizens,n.a,91.3
2021,PERAK,Total of employed,n.a,1042.6
2021,PERAK,Malaysian citizens,Total Malaysian citizens,980.3
2021,PERAK,Malaysian citizens,Bumiputera,561.8
2021,PERAK,Malaysian citizens,Chinese,302.7
2021,PERAK,Malaysian citizens,Indians,111.7
2021,PERAK,Malaysian citizens,Others,4
2021,PERAK,Non Malaysian citizens,n.a,62.3
2021,PERLIS,Total of employed,n.a,108.5
2021,PERLIS,Malaysian citizens,Total Malaysian citizens,105.2
2021,PERLIS,Malaysian citizens,Bumiputera,93
2021,PERLIS,Malaysian citizens,Chinese,8.6
2021,PERLIS,Malaysian citizens,Indians,0.9
2021,PERLIS,Malaysian citizens,Others,2.6
2021,PERLIS,Non Malaysian citizens,n.a,3.3
2021,SELANGOR,Total of employed,n.a,3518.5
2021,SELANGOR,Malaysian citizens,Total Malaysian citizens,3169.2
2021,SELANGOR,Malaysian citizens,Bumiputera,1857.1
2021,SELANGOR,Malaysian citizens,Chinese,883.3
2021,SELANGOR,Malaysian citizens,Indians,410.5
2021,SELANGOR,Malaysian citizens,Others,18.3
2021,SELANGOR,Non Malaysian citizens,n.a,349.3
2021,TERENGGANU,Total of employed,n.a,468.8
2021,TERENGGANU,Malaysian citizens,Total Malaysian citizens,451
2021,TERENGGANU,Malaysian citizens,Bumiputera,432.1
2021,TERENGGANU,Malaysian citizens,Chinese,17.6
2021,TERENGGANU,Malaysian citizens,Indians,0.7
2021,TERENGGANU,Malaysian citizens,Others,0.7
2021,TERENGGANU,Non Malaysian citizens,n.a,17.7
2021,SABAH,Total of employed,n.a,1856.5
2021,SABAH,Malaysian citizens,Total Malaysian citizens,1170
2021,SABAH,Malaysian citizens,Bumiputera,898.2
2021,SABAH,Malaysian citizens,Chinese,157.6
2021,SABAH,Malaysian citizens,Indians,11.9
2021,SABAH,Malaysian citizens,Others,44.9
2021,SABAH,Non Malaysian citizens,n.a,686.5
2021,SARAWAK,Total of employed,n.a,1278.2
2021,SARAWAK,Malaysian citizens,Total Malaysian citizens,1154.8
2021,SARAWAK,Malaysian citizens,Bumiputera,852.7
2021,SARAWAK,Malaysian citizens,Chinese,294.1
2021,SARAWAK,Malaysian citizens,Indians,1.6
2021,SARAWAK,Malaysian citizens,Others,6.4
2021,SARAWAK,Non Malaysian citizens,n.a,123.3
2021,W.P.KUALA LUMPUR,Total of employed,n.a,855.6
2021,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,732.5
2021,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,325.1
2021,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,332.4
2021,W.P.KUALA LUMPUR,Malaysian citizens,Indians,66.2
2021,W.P.KUALA LUMPUR,Malaysian citizens,Others,8.8
2021,W.P.KUALA LUMPUR,Non Malaysian citizens,n.a,123.1
2021,W.P.LABUAN,Total of employed,n.a,44.4
2021,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,39.7
2021,W.P.LABUAN,Malaysian citizens,Bumiputera,33.7
2021,W.P.LABUAN,Malaysian citizens,Chinese,4.8
2021,W.P.LABUAN,Malaysian citizens,Indians,0.2
2021,W.P.LABUAN,Malaysian citizens,Others,1
2021,W.P.LABUAN,Non Malaysian citizens,n.a,4.7
2021,W.P.PUTRAJAYA,Total of employed,n.a,37.2
2021,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,35.1
2021,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,34.7
2021,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.1
2021,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.3
2021,W.P.PUTRAJAYA,Malaysian citizens,Others,0
2021,W.P.PUTRAJAYA,Non Malaysian citizens,n.a,2
2019,MALAYSIA,Total of employed,n.a,15073.4
2019,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12836.8
2019,MALAYSIA,Malaysian citizens,Bumiputera,8489.9
2019,MALAYSIA,Malaysian citizens,Chinese,3308.6
2019,MALAYSIA,Malaysian citizens,Indians,916.1
2019,MALAYSIA,Malaysian citizens,Others,122.3
2019,MALAYSIA,Non Malaysian citizens,n.a,2236.6
2019,JOHOR,Total of employed,n.a,1756.1
2019,JOHOR,Malaysian citizens,Total Malaysian citizens,1534.3
2019,JOHOR,Malaysian citizens,Bumiputera,885
2019,JOHOR,Malaysian citizens,Chinese,534.6
2019,JOHOR,Malaysian citizens,Indians,106.3
2019,JOHOR,Malaysian citizens,Others,8.5
2019,JOHOR,Non Malaysian citizens,n.a,221.9
2019,KEDAH,Total of employed,n.a,923.6
2019,KEDAH,Malaysian citizens,Total Malaysian citizens,852.5
2019,KEDAH,Malaysian citizens,Bumiputera,666.4
2019,KEDAH,Malaysian citizens,Chinese,114.5
2019,KEDAH,Malaysian citizens,Indians,62.9
2019,KEDAH,Malaysian citizens,Others,8.7
2019,KEDAH,Non Malaysian citizens,n.a,71.1
2019,KELANTAN,Total of employed,n.a,682.4
2019,KELANTAN,Malaysian citizens,Total Malaysian citizens,647.8
2019,KELANTAN,Malaysian citizens,Bumiputera,618.1
2019,KELANTAN,Malaysian citizens,Chinese,23.5
2019,KELANTAN,Malaysian citizens,Indians,1.6
2019,KELANTAN,Malaysian citizens,Others,4.5
2019,KELANTAN,Non Malaysian citizens,n.a,34.6
2019,MELAKA,Total of employed,n.a,428.3
2019,MELAKA,Malaysian citizens,Total Malaysian citizens,390.6
2019,MELAKA,Malaysian citizens,Bumiputera,258.9
2019,MELAKA,Malaysian citizens,Chinese,104.6
2019,MELAKA,Malaysian citizens,Indians,25.7
2019,MELAKA,Malaysian citizens,Others,1.3
2019,MELAKA,Non Malaysian citizens,n.a,37.7
2019,N.SEMBILAN,Total of employed,n.a,482.5
2019,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,422.8
2019,N.SEMBILAN,Malaysian citizens,Bumiputera,257.3
2019,N.SEMBILAN,Malaysian citizens,Chinese,96.6
2019,N.SEMBILAN,Malaysian citizens,Indians,66.8
2019,N.SEMBILAN,Malaysian citizens,Others,2.1
2019,N.SEMBILAN,Non Malaysian citizens,n.a,59.6
2019,PAHANG,Total of employed,n.a,719.5
2019,PAHANG,Malaysian citizens,Total Malaysian citizens,639.3
2019,PAHANG,Malaysian citizens,Bumiputera,501.2
2019,PAHANG,Malaysian citizens,Chinese,107.8
2019,PAHANG,Malaysian citizens,Indians,28.6
2019,PAHANG,Malaysian citizens,Others,1.6
2019,PAHANG,Non Malaysian citizens,n.a,80.2
2019,P.PINANG,Total of employed,n.a,835.6
2019,P.PINANG,Malaysian citizens,Total Malaysian citizens,724.8
2019,P.PINANG,Malaysian citizens,Bumiputera,334
2019,P.PINANG,Malaysian citizens,Chinese,321.1
2019,P.PINANG,Malaysian citizens,Indians,66.7
2019,P.PINANG,Malaysian citizens,Others,3
2019,P.PINANG,Non Malaysian citizens,n.a,110.9
2019,PERAK,Total of employed,n.a,1043.7
2019,PERAK,Malaysian citizens,Total Malaysian citizens,970.7
2019,PERAK,Malaysian citizens,Bumiputera,559.9
2019,PERAK,Malaysian citizens,Chinese,298.4
2019,PERAK,Malaysian citizens,Indians,107.8
2019,PERAK,Malaysian citizens,Others,4.6
2019,PERAK,Non Malaysian citizens,n.a,73
2019,PERLIS,Total of employed,n.a,108.5
2019,PERLIS,Malaysian citizens,Total Malaysian citizens,103.5
2019,PERLIS,Malaysian citizens,Bumiputera,92.1
2019,PERLIS,Malaysian citizens,Chinese,7.9
2019,PERLIS,Malaysian citizens,Indians,1.4
2019,PERLIS,Malaysian citizens,Others,2.2
2019,PERLIS,Non Malaysian citizens,n.a,5.1
2019,SELANGOR,Total of employed,n.a,3489.5
2019,SELANGOR,Malaysian citizens,Total Malaysian citizens,3045.5
2019,SELANGOR,Malaysian citizens,Bumiputera,1727.5
2019,SELANGOR,Malaysian citizens,Chinese,923.4
2019,SELANGOR,Malaysian citizens,Indians,374.6
2019,SELANGOR,Malaysian citizens,Others,20.1
2019,SELANGOR,Non Malaysian citizens,n.a,444
2019,TERENGGANU,Total of employed,n.a,471
2019,TERENGGANU,Malaysian citizens,Total Malaysian citizens,453
2019,TERENGGANU,Malaysian citizens,Bumiputera,439.8
2019,TERENGGANU,Malaysian citizens,Chinese,12.5
2019,TERENGGANU,Malaysian citizens,Indians,0.4
2019,TERENGGANU,Malaysian citizens,Others,0.3
2019,TERENGGANU,Non Malaysian citizens,n.a,17.9
2019,SABAH,Total of employed,n.a,1908.6
2019,SABAH,Malaysian citizens,Total Malaysian citizens,1105.1
2019,SABAH,Malaysian citizens,Bumiputera,890.5
2019,SABAH,Malaysian citizens,Chinese,156.7
2019,SABAH,Malaysian citizens,Indians,4.7
2019,SABAH,Malaysian citizens,Others,53.1
2019,SABAH,Non Malaysian citizens,n.a,803.5
2019,SARAWAK,Total of employed,n.a,1304.7
2019,SARAWAK,Malaysian citizens,Total Malaysian citizens,1147.7
2019,SARAWAK,Malaysian citizens,Bumiputera,851
2019,SARAWAK,Malaysian citizens,Chinese,288.3
2019,SARAWAK,Malaysian citizens,Indians,2.6
2019,SARAWAK,Malaysian citizens,Others,5.8
2019,SARAWAK,Non Malaysian citizens,n.a,157.1
2019,W.P.KUALA LUMPUR,Total of employed,n.a,841
2019,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,727.1
2019,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,341.9
2019,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,313.9
2019,W.P.KUALA LUMPUR,Malaysian citizens,Indians,65.3
2019,W.P.KUALA LUMPUR,Malaysian citizens,Others,6
2019,W.P.KUALA LUMPUR,Non Malaysian citizens,n.a,113.9
2019,W.P.LABUAN,Total of employed,n.a,40.3
2019,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,36.2
2019,W.P.LABUAN,Malaysian citizens,Bumiputera,30.9
2019,W.P.LABUAN,Malaysian citizens,Chinese,4.5
2019,W.P.LABUAN,Malaysian citizens,Indians,0.2
2019,W.P.LABUAN,Malaysian citizens,Others,0.6
2019,W.P.LABUAN,Non Malaysian citizens,n.a,4.1
2019,W.P.PUTRAJAYA,Total of employed,n.a,38.1
2019,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,36
2019,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,35.4
2019,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.1
2019,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.5
2019,W.P.PUTRAJAYA,Malaysian citizens,Others,0
2019,W.P.PUTRAJAYA,Non Malaysian citizens,n.a,2.1
2018,MALAYSIA,Total of employed,n.a,14776
2018,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12592.5
2018,MALAYSIA,Malaysian citizens,Bumiputera,8353.4
2018,MALAYSIA,Malaysian citizens,Chinese,3245.5
2018,MALAYSIA,Malaysian citizens,Indians,888.4
2018,MALAYSIA,Malaysian citizens,Others,105.2
2018,MALAYSIA,Non Malaysian citizens,n.a,2183.4
2018,JOHOR,Total of employed,n.a,1693.3
2018,JOHOR,Malaysian citizens,Total Malaysian citizens,1490.1
2018,JOHOR,Malaysian citizens,Bumiputera,864.5
2018,JOHOR,Malaysian citizens,Chinese,515.4
2018,JOHOR,Malaysian citizens,Indians,105
2018,JOHOR,Malaysian citizens,Others,5.2
2018,JOHOR,Non Malaysian citizens,n.a,203.1
2018,KEDAH,Total of employed,n.a,909.2
2018,KEDAH,Malaysian citizens,Total Malaysian citizens,840.9
2018,KEDAH,Malaysian citizens,Bumiputera,657.5
2018,KEDAH,Malaysian citizens,Chinese,111.2
2018,KEDAH,Malaysian citizens,Indians,63.2
2018,KEDAH,Malaysian citizens,Others,9.1
2018,KEDAH,Non Malaysian citizens,n.a,68.3
2018,KELANTAN,Total of employed,n.a,683.3
2018,KELANTAN,Malaysian citizens,Total Malaysian citizens,650.2
2018,KELANTAN,Malaysian citizens,Bumiputera,620.5
2018,KELANTAN,Malaysian citizens,Chinese,24.1
2018,KELANTAN,Malaysian citizens,Indians,1.5
2018,KELANTAN,Malaysian citizens,Others,4.2
2018,KELANTAN,Non Malaysian citizens,n.a,33.1
2018,MELAKA,Total of employed,n.a,416.7
2018,MELAKA,Malaysian citizens,Total Malaysian citizens,379.2
2018,MELAKA,Malaysian citizens,Bumiputera,257.3
2018,MELAKA,Malaysian citizens,Chinese,98.6
2018,MELAKA,Malaysian citizens,Indians,22
2018,MELAKA,Malaysian citizens,Others,1.3
2018,MELAKA,Non Malaysian citizens,n.a,37.6
2018,N.SEMBILAN,Total of employed,n.a,488.6
2018,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,425.7
2018,N.SEMBILAN,Malaysian citizens,Bumiputera,259.5
2018,N.SEMBILAN,Malaysian citizens,Chinese,102.5
2018,N.SEMBILAN,Malaysian citizens,Indians,62.6
2018,N.SEMBILAN,Malaysian citizens,Others,1.1
2018,N.SEMBILAN,Non Malaysian citizens,n.a,62.9
2018,PAHANG,Total of employed,n.a,716.6
2018,PAHANG,Malaysian citizens,Total Malaysian citizens,639.9
2018,PAHANG,Malaysian citizens,Bumiputera,501.7
2018,PAHANG,Malaysian citizens,Chinese,109.3
2018,PAHANG,Malaysian citizens,Indians,27.1
2018,PAHANG,Malaysian citizens,Others,1.7
2018,PAHANG,Non Malaysian citizens,n.a,76.7
2018,P.PINANG,Total of employed,n.a,830.8
2018,P.PINANG,Malaysian citizens,Total Malaysian citizens,715
2018,P.PINANG,Malaysian citizens,Bumiputera,326.1
2018,P.PINANG,Malaysian citizens,Chinese,320.3
2018,P.PINANG,Malaysian citizens,Indians,67.3
2018,P.PINANG,Malaysian citizens,Others,1.3
2018,P.PINANG,Non Malaysian citizens,n.a,115.8
2018,PERAK,Total of employed,n.a,1034.8
2018,PERAK,Malaysian citizens,Total Malaysian citizens,961.9
2018,PERAK,Malaysian citizens,Bumiputera,558
2018,PERAK,Malaysian citizens,Chinese,291.9
2018,PERAK,Malaysian citizens,Indians,109.4
2018,PERAK,Malaysian citizens,Others,2.5
2018,PERAK,Non Malaysian citizens,n.a,72.9
2018,PERLIS,Total of employed,n.a,104
2018,PERLIS,Malaysian citizens,Total Malaysian citizens,99.5
2018,PERLIS,Malaysian citizens,Bumiputera,88.8
2018,PERLIS,Malaysian citizens,Chinese,8.2
2018,PERLIS,Malaysian citizens,Indians,0.9
2018,PERLIS,Malaysian citizens,Others,1.6
2018,PERLIS,Non Malaysian citizens,n.a,4.5
2018,SELANGOR,Total of employed,n.a,3446.7
2018,SELANGOR,Malaysian citizens,Total Malaysian citizens,2965.6
2018,SELANGOR,Malaysian citizens,Bumiputera,1691.2
2018,SELANGOR,Malaysian citizens,Chinese,899
2018,SELANGOR,Malaysian citizens,Indians,357
2018,SELANGOR,Malaysian citizens,Others,18.4
2018,SELANGOR,Non Malaysian citizens,n.a,481
2018,TERENGGANU,Total of employed,n.a,447.8
2018,TERENGGANU,Malaysian citizens,Total Malaysian citizens,429.8
2018,TERENGGANU,Malaysian citizens,Bumiputera,415.8
2018,TERENGGANU,Malaysian citizens,Chinese,13.4
2018,TERENGGANU,Malaysian citizens,Indians,0.2
2018,TERENGGANU,Malaysian citizens,Others,0.4
2018,TERENGGANU,Non Malaysian citizens,n.a,18
2018,SABAH,Total of employed,n.a,1825.5
2018,SABAH,Malaysian citizens,Total Malaysian citizens,1087.3
2018,SABAH,Malaysian citizens,Bumiputera,882.6
2018,SABAH,Malaysian citizens,Chinese,152.5
2018,SABAH,Malaysian citizens,Indians,3.3
2018,SABAH,Malaysian citizens,Others,48.9
2018,SABAH,Non Malaysian citizens,n.a,738.2
2018,SARAWAK,Total of employed,n.a,1274.4
2018,SARAWAK,Malaysian citizens,Total Malaysian citizens,1117.3
2018,SARAWAK,Malaysian citizens,Bumiputera,832.3
2018,SARAWAK,Malaysian citizens,Chinese,281.2
2018,SARAWAK,Malaysian citizens,Indians,2.7
2018,SARAWAK,Malaysian citizens,Others,1
2018,SARAWAK,Non Malaysian citizens,n.a,157.1
2018,W.P.KUALA LUMPUR,Total of employed,n.a,824.4
2018,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,717.4
2018,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,330.8
2018,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,313.6
2018,W.P.KUALA LUMPUR,Malaysian citizens,Indians,65.6
2018,W.P.KUALA LUMPUR,Malaysian citizens,Others,7.5
2018,W.P.KUALA LUMPUR,Non Malaysian citizens,n.a,106.9
2018,W.P.LABUAN,Total of employed,n.a,41.5
2018,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,36.7
2018,W.P.LABUAN,Malaysian citizens,Bumiputera,31.4
2018,W.P.LABUAN,Malaysian citizens,Chinese,4.4
2018,W.P.LABUAN,Malaysian citizens,Indians,0.2
2018,W.P.LABUAN,Malaysian citizens,Others,0.7
2018,W.P.LABUAN,Non Malaysian citizens,n.a,4.7
2018,W.P.PUTRAJAYA,Total of employed,n.a,38.4
2018,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,35.9
2018,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,35.4
2018,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.1
2018,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.4
2018,W.P.PUTRAJAYA,Malaysian citizens,Others,0
2018,W.P.PUTRAJAYA,Non Malaysian citizens,n.a,2.5
2017,MALAYSIA,Total of employed,n.a,14476.8
2017,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12232.8
2017,MALAYSIA,Malaysian citizens,Bumiputera,8115.9
2017,MALAYSIA,Malaysian citizens,Chinese,3132.3
